feature,importance
org_rate_TruePositive,0.642547532451549
org_rate_FalsePositive,0.5257159351096123
org_rate_BenignPositive,0.5071953918230174
org_incident_count,0.239620952592172
EntityType_CloudLogonSession,0.13105105069657633
ApplicationId_nunique,0.11968827033295826
CountryCode_nunique,0.11840836808733754
OSFamily_nunique,0.09693426800931106
ApplicationName_nunique,0.09451258204831378
DetectorId_nunique,0.08929556836922554
EntityType_Mailbox,0.07729636095573517
OSVersion_nunique,0.06943650785492449
State_nunique,0.06178940686073626
Url_nunique,0.06148745045944245
DeviceId_nunique,0.05823310097752556
LastVerdict_NoThreatsFound,0.0578362214145662
hour_of_day,0.05618797614420889
duration_seconds,0.050861722898568704
Roles_Contextual,0.04971991707967318
AlertTitle_nunique,0.047739233677215644
EntityType_CloudApplication,0.04770892774637114
Category_SuspiciousActivity,0.04621905100647093
MitreTechniques_T1566.002,0.044829221442695306
AntispamDirection_Inbound,0.0442290252199466
day_of_week,0.04299716748933483
MitreTechniques_T1078;T1078.004,0.04227313321555418
DeviceName_nunique,0.04127363079373665
Category_CommandAndControl,0.04080070379171606
LastVerdict_Malicious,0.037983515526535325
EntityType_MailCluster,0.036870135909516925
AccountUpn_nunique,0.03635851677535532
Category_Execution,0.03615001896921371
EntityType_Url,0.03568912403096839
City_nunique,0.034953023869773635
MitreTechniques_T1566,0.03424503410591784
IpAddress_nunique,0.03382914569463624
Sha256_nunique,0.031240623162379785
EmailClusterId_nunique,0.0305517706231221
EntityType_MailMessage,0.029746218251654827
LastVerdict_Suspicious,0.02898449549330931
Category_Exfiltration,0.027690278332396328
Category_InitialAccess,0.027633936951839667
SuspicionLevel_Suspicious,0.027314968277297194
EntityType_Process,0.025434759675839986
EvidenceRole_Related,0.025380663954601174
AccountObjectId_nunique,0.025348554332545098
NetworkMessageId_nunique,0.025160473818580765
AccountSid_nunique,0.023997706795294473
FolderPath_nunique,0.023483322873139454
FileName_nunique,0.023367332921068656
MitreTechniques_T1566.001,0.02022357066620991
EntityType_File,0.019726663212669342
EntityType_User,0.016751290349432017
ActionGrouped_ContainAccount,0.016324058276853255
EntityType_Ip,0.015260385177216989
ActionGranular_update stsrefreshtokenvalidfrom timestamp.,0.013820976977547627
EvidenceRole_Impacted,0.013692302452602589
AccountName_nunique,0.01311460455716636
MitreTechniques_Other,0.012651715480674086
